ATP Test Case ID,YAML File Name,Test Name,Flow Type
ON_01,ON_01 - Enter onboarding after accepting terms.yaml,"ON_01 - Enter onboarding after accepting terms",Onboarding
ON_02,ON_02 - Advance onboarding via Next and horizontal swipe.yaml,"ON_02 - Advance onboarding via Next and horizontal swipe",Onboarding
ON_03,ON_03 - Skip onboarding and land on gallery.yaml,"ON_03 - Skip onboarding and land on gallery",Skip
SE_03,SE_03 - Quick Tips - App quick tour.yaml,"SE_03 - Open App quick tour from Settings and swipe slides",Onboarding
