TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
COX_180,HP600_CONN_TC018,connection,This Printer uses wi-fi pop up,Verify the functionality of the Open Settings button on Android.,connection/COX_180 - Verify the functionality of the Open Settings button on Andr.yaml,com.hp.impulse.sprocket
COX_181,HP600_CONN_TC019,connection,This Printer uses wi-fi pop up,Verify 'This Printer uses wi-fi screen' for Android,connection/COX_181 - Verify This Printer uses wi-fi screen for Android.yaml,com.hp.impulse.sprocket
COX_182,HP600_CONN_TC020,connection,Wi-Fi Validation at 'This Printer uses wi-fi' pop up,Verify that the app remains on the Wi-Fi instruction screen when the phone is not connected to a Wi-Fi network.,connection/COX_182 - Verify that the app remains on the Wi-Fi instruction screen .yaml,com.hp.impulse.sprocket
COX_183,HP600_CONN_TC021,connection,Connection Flow,,connection/COX_183 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_184,HP600_CONN_TC022,connection,Connection Flow,,connection/COX_184 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_185,HP600_CONN_TC023,connection,Connection Flow,,connection/COX_185 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_186,HP600_CONN_TC024,connection,Connection Flow,,connection/COX_186 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_187,HP600_CONN_TC025,connection,Connection Flow,,connection/COX_187 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_188,HP600_CONN_TC026,connection,Connection Flow,,connection/COX_188 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_189,HP600_CONN_TC027,connection,Connection Flow,,connection/COX_189 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_190,HP600_CONN_TC028,connection,Connection Flow,,connection/COX_190 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_191,HP600_CONN_TC029,connection,Connection Flow,,connection/COX_191 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_192,HP600_CONN_TC030,connection,Connection Flow,,connection/COX_192 - Connection Flow.yaml,com.hp.impulse.sprocket
COX_193,HP600_CONN_TC031,connection,Wi-Fi,Verify Connect Printer to Wi-Fi screen,connection/COX_193 - Verify Connect Printer to Wi-Fi screen.yaml,com.hp.impulse.sprocket
COX_194,HP600_CONN_TC032,connection,Wi-Fi,Verify current SSID,connection/COX_194 - Verify current SSID.yaml,com.hp.impulse.sprocket
COX_195,HP600_CONN_TC033,connection,Wi-Fi,Verify Change option,connection/COX_195 - Verify Change option.yaml,com.hp.impulse.sprocket
COX_196,HP600_CONN_TC034,connection,Wi-Fi,Verify Wi-Fi list,connection/COX_196 - Verify Wi-Fi list.yaml,com.hp.impulse.sprocket
COX_197,HP600_CONN_TC035,connection,Wi-Fi,Verify selecting another network,connection/COX_197 - Verify selecting another network.yaml,com.hp.impulse.sprocket
COX_198,HP600_CONN_TC036,connection,Wi-Fi,Verify password entry,connection/COX_198 - Verify password entry.yaml,com.hp.impulse.sprocket
COX_199,HP600_CONN_TC037,connection,Wi-Fi,Verify show/hide password,connection/COX_199 - Verify showhide password.yaml,com.hp.impulse.sprocket
COX_200,HP600_CONN_TC038,connection,Wi-Fi,Verify Next enabled,connection/COX_200 - Verify Next enabled.yaml,com.hp.impulse.sprocket
COX_201,HP600_CONN_TC039,connection,Wi-Fi,Verify loading,connection/COX_201 - Verify loading.yaml,com.hp.impulse.sprocket
COX_202,HP600_CONN_TC040,connection,Wi-Fi,Verify connection starts,connection/COX_202 - Verify connection starts.yaml,com.hp.impulse.sprocket
COX_203,HP600_CONN_TC041,connection,Connection,Verify loading indicator while connecting,connection/COX_203 - Verify loading indicator while connecting.yaml,com.hp.impulse.sprocket
COX_204,HP600_CONN_TC042,connection,Connection,Verify loading screen remains until completion,connection/COX_204 - Verify loading screen remains until completion.yaml,com.hp.impulse.sprocket
COX_205,HP600_CONN_TC043,connection,Connection,Verify Set Up Complete screen after successful connection,connection/COX_205 - Verify Set Up Complete screen after successful connection.yaml,com.hp.impulse.sprocket
COX_206,HP600_CONN_TC044,connection,Connection,Verify Set Up Complete screen contents,connection/COX_206 - Verify Set Up Complete screen contents.yaml,com.hp.impulse.sprocket
COX_207,HP600_CONN_TC045,connection,Connection,Verify Finish Connection button,connection/COX_207 - Verify Finish Connection button.yaml,com.hp.impulse.sprocket
COX_208,HP600_CONN_TC046,connection,Connection,Verify navigation to Your Printers,connection/COX_208 - Verify navigation to Your Printers.yaml,com.hp.impulse.sprocket
COX_209,HP600_CONN_TC047,connection,Connection,Verify newly connected printer in list,connection/COX_209 - Verify newly connected printer in list.yaml,com.hp.impulse.sprocket
COX_210,HP600_CONN_TC048,connection,Connection,Verify connected printer status,connection/COX_210 - Verify connected printer status.yaml,com.hp.impulse.sprocket
COX_211,HP600_CONN_TC049,connection,Connection,Verify printer can be selected,connection/COX_211 - Verify printer can be selected.yaml,com.hp.impulse.sprocket
COX_212,HP600_CONN_TC050,connection,Connection,Verify no duplicate printer entry,connection/COX_212 - Verify no duplicate printer entry.yaml,com.hp.impulse.sprocket
COX_213,HP600_CONN_TC051,connection,Wi-Fi Connection Failure,Verify Couldn't Connect screen,connection/COX_213 - Verify Couldnt Connect screen.yaml,com.hp.impulse.sprocket
COX_214,HP600_CONN_TC052,connection,Wi-Fi Connection Failure,Verify Couldn't Connect UI,connection/COX_214 - Verify Couldnt Connect UI.yaml,com.hp.impulse.sprocket
COX_215,HP600_CONN_TC053,connection,Wi-Fi Connection Failure,Verify Try Again,connection/COX_215 - Verify Try Again.yaml,com.hp.impulse.sprocket
COX_216,HP600_CONN_TC054,connection,Wi-Fi Connection Failure,Verify Cancel,connection/COX_216 - Verify Cancel.yaml,com.hp.impulse.sprocket
COX_217,HP600_CONN_TC055,connection,Wi-Fi Connection Failure,Verify incorrect Wi-Fi password,connection/COX_217 - Verify incorrect Wi-Fi password.yaml,com.hp.impulse.sprocket
COX_218,HP600_CONN_TC056,connection,Wi-Fi Connection Failure,Verify printer powered off,connection/COX_218 - Verify printer powered off.yaml,com.hp.impulse.sprocket
COX_219,HP600_CONN_TC057,connection,Wi-Fi Connection Failure,Verify printer out of Bluetooth range,connection/COX_219 - Verify printer out of Bluetooth range.yaml,com.hp.impulse.sprocket
COX_220,HP600_CONN_TC058,connection,Wi-Fi Connection Failure,Verify phone disconnects from Wi-Fi,connection/COX_220 - Verify phone disconnects from Wi-Fi.yaml,com.hp.impulse.sprocket
COX_221,HP600_CONN_TC059,connection,Wi-Fi Connection Failure,Verify connection timeout,connection/COX_221 - Verify connection timeout.yaml,com.hp.impulse.sprocket
