TestCaseID,Module,FlowFile,App,ExcelID,Description
COL_12,collage,collage/COL_12 - Image reordering.yaml,com.hp.impulse.sprocket,,
COL_13,collage,collage/COL_13 - Edit image.yaml,com.hp.impulse.sprocket,,
COL_14,collage,collage/COL_14 - Print preview UI.yaml,com.hp.impulse.sprocket,,
COL_15,collage,collage/COL_15 - Printer validation.yaml,com.hp.impulse.sprocket,,
COL_16,collage,collage/COL_16 - One image collage blocked.yaml,com.hp.impulse.sprocket,,
COL_17,collage,collage/COL_17 - Two image collage and layouts.yaml,com.hp.impulse.sprocket,,
COL_18,collage,collage/COL_18 - Three image collage and layouts.yaml,com.hp.impulse.sprocket,,
COL_19,collage,collage/COL_19 - Four image collage and layouts.yaml,com.hp.impulse.sprocket,,
COL_20,collage,collage/COL_20 - More than four photos limit.yaml,com.hp.impulse.sprocket,,
HM_01,home,home/HM_01 - Verify the complete application flow from the Splash Screen .yaml,com.hp.impulse.sprocket,HOME SCREEN_001,Verify the complete application flow from the Splash Screen to the Home Screen using the Sign Up Later option.
HM_02,home,home/HM_02 - Verify the notification permission popup and the Allow butto.yaml,com.hp.impulse.sprocket,HOME SCREEN_002,Verify the notification permission popup and the Allow button functionality.
HM_03,home,home/HM_03 - Verify the notification permission popup and the Dont allow .yaml,com.hp.impulse.sprocket,HOME SCREEN_003,Verify the notification permission popup and the Don't allow button functionality.
HM_04,home,home/HM_04 - Verify the Home screen user interface when the user is not l.yaml,com.hp.impulse.sprocket,HOME SCREEN_004,Verify the Home screen user interface when the user is not logged in.
HM_05,home,home/HM_05 - Verify the Home screen user interface when the user is logge.yaml,com.hp.impulse.sprocket,HOME SCREEN_005,Verify the Home screen user interface when the user is logged in.
PID_01,photo-id,photo-id/PID_01 - Verify camera permission popup and Photo ID onboarding popup.yaml,com.hp.impulse.sprocket,Photo ID 01,Verify camera permission popup and Photo ID onboarding popup
PID_02,photo-id,photo-id/PID_02 - Verify camera permission denial.yaml,com.hp.impulse.sprocket,Photo ID 02,Verify camera permission denial
PID_03,photo-id,photo-id/PID_03 - Verify Photo ID default UI layout.yaml,com.hp.impulse.sprocket,Photo ID  03,Verify Photo ID default UI layout
PID_04,photo-id,photo-id/PID_04 - Verify Photo ID UI after camera permission denied.yaml,com.hp.impulse.sprocket,Photo ID  04,Verify Photo ID UI after camera permission denied
PID_05,photo-id,photo-id/PID_05 - Verify aspect ratio switching.yaml,com.hp.impulse.sprocket,Photo ID 05,Verify aspect ratio switching
PID_06,photo-id,photo-id/PID_06 - Verify rapid aspect ratio switching.yaml,com.hp.impulse.sprocket,Photo ID 06,Verify rapid aspect ratio switching
