TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
AL_33,Blockers Error Pop up Ios 12,alerts,Print Error,Verify Low Battery popup,alerts/AL_33 - Verify Low Battery popup.yaml,com.hp.impulse.sprocket
AL_34,Blockers Error Pop up Ios 13,alerts,Print Error,Verify Battery Error popup,alerts/AL_34 - Verify Battery Error popup.yaml,com.hp.impulse.sprocket
AL_35,Blockers Error Pop up Ios 14,alerts,Temperature,"Verify ""Sprocket is Warm"" popup",alerts/AL_35 - Verify Sprocket is Warm popup.yaml,com.hp.impulse.sprocket
AL_36,Blockers Error Pop up Ios 15,alerts,Temperature,"Verify ""Sprocket is Cold"" popup",alerts/AL_36 - Verify Sprocket is Cold popup.yaml,com.hp.impulse.sprocket
AL_37,Blockers Error Pop up Ios 16,alerts,Paper,"Verify ""Paper Feed Error"" popup",alerts/AL_37 - Verify Paper Feed Error popup.yaml,com.hp.impulse.sprocket
AL_38,Stoppers Error Pop up Ios   17,alerts,Memory,"Verify ""Memory Error"" popup",alerts/AL_38 - Verify Memory Error popup.yaml,com.hp.impulse.sprocket
AL_39,Stoppers Error Pop up Ios    18,alerts,Transmit,"Verify ""Transmit Error"" popup",alerts/AL_39 - Verify Transmit Error popup.yaml,com.hp.impulse.sprocket
AL_40,Stoppers Error Pop up Ios   19,alerts,Voltage,"Verify ""Low Voltage"" popup",alerts/AL_40 - Verify Low Voltage popup.yaml,com.hp.impulse.sprocket
AL_41,Stoppers Error Pop up Ios   20,alerts,Print,"Verify ""Print Error"" popup",alerts/AL_41 - Verify Print Error popup.yaml,com.hp.impulse.sprocket
AL_42,Stoppers Error Pop up Ios  21,alerts,Temperature,"Verify ""High Temperature"" popup",alerts/AL_42 - Verify High Temperature popup.yaml,com.hp.impulse.sprocket
AL_43,Stoppers Error Pop up Ios  22,alerts,Battery,"Verify ""High Battery Temperature"" popup",alerts/AL_43 - Verify High Battery Temperature popup.yaml,com.hp.impulse.sprocket
AL_44,Stoppers Error Pop up Ios 23,alerts,Paper,"Verify ""Paper Jam"" error",alerts/AL_44 - Verify Paper Jam error.yaml,com.hp.impulse.sprocket
AL_45,Stoppers Error Pop up Ios  24,alerts,Paper,"Verify ""Out of Paper"" error",alerts/AL_45 - Verify Out of Paper error.yaml,com.hp.impulse.sprocket
AL_46,Stoppers Error Pop up Ios  25,alerts,Cover,"Verify ""Top Cover Open"" error",alerts/AL_46 - Verify Top Cover Open error.yaml,com.hp.impulse.sprocket
AL_47,Stoppers Error Pop up Ios  26,alerts,System,"Verify ""System Error""",alerts/AL_47 - Verify System Error.yaml,com.hp.impulse.sprocket
AL_48,Stoppers Error Pop up Ios 27,alerts,Battery,"Verify ""Battery Error"" popup",alerts/AL_48 - Verify Battery Error popup.yaml,com.hp.impulse.sprocket
AL_49,Stoppers Error Pop up Ios  28,alerts,Temperature,"Verify ""Sprocket is Warm"" popup",alerts/AL_49 - Verify Sprocket is Warm popup.yaml,com.hp.impulse.sprocket
AL_50,Stoppers Error Pop up Ios  29,alerts,Temperature,"Verify ""Sprocket is Cold"" popup",alerts/AL_50 - Verify Sprocket is Cold popup.yaml,com.hp.impulse.sprocket
