TestCaseID,ExcelID,Module,ExcelModule,Description,FlowFile,App
VD_01,Video frame 01,video,CR_05A_Gallery with Videos,Verify video thumbnails indicate video content.,video/VD_01 - Verify video thumbnails indicate video content.yaml,com.hp.impulse.sprocket
VD_02,Video frame 02,video,CR_05B_Select Mode with Videos,Verify mixed media selection.,video/VD_02 - Verify mixed media selection.yaml,com.hp.impulse.sprocket
VD_03,Video frame 03,video,CR_05C_Print Preview of Photos & Videos,Verify AI tool restrictions for video frames.,video/VD_03 - Verify AI tool restrictions for video frames.yaml,com.hp.impulse.sprocket
VD_04,Video frame 04,video,Video Frames & Selection Flow,"Verify full E2E flow: Multi-select (photos/videos), previewing, AI restrictions, playback, and editing.",video/VD_04 - Verify full E2E flow Multi-select photosvideos previewing AI.yaml,com.hp.impulse.sprocket
VD_05,Video frame 05,video,CR_05D_Video Frames Print Preview,Verify video playback and scrubbing.,video/VD_05 - Verify video playback and scrubbing.yaml,com.hp.impulse.sprocket
VD_06,Video frame 06,video,CR_05D_Video Frames Print Preview,Verify frame editing and discard behavior.,video/VD_06 - Verify frame editing and discard behavior.yaml,com.hp.impulse.sprocket
VD_07,Video frame 07,video,CR_05E_Video Frames Tile Print,Verify UI restrictions during playback in Tiles mode.,video/VD_07 - Verify UI restrictions during playback in Tiles mode.yaml,com.hp.impulse.sprocket
